Date,Salesperson,Customer,Car Make,Car Year,Original manufacture sale,Car Tax rate,Gov Income,Profit Rate,Profit Income,Sale Price,Commission Rate,Commission Earned,Company Revenue
9/17/2009,Edward Adams,Customer_66394,Chevrolet,2015,13275.576,0.15,1991.3364,0.25,3816.7281,19083.64,0.08,1526.69124,4281.37276
2/18/2009,William Young,Customer_66483,Toyota,2021,18184.032,0.15,2727.6048,0.25,5227.9092,26139.55,0.03,784.18638,7171.33162
7/13/2015,Edward Adams,Customer_66484,Chevrolet,2016,25787.73,0.15,3868.1595,0.25,7413.972375,37069.86,0.13,4819.082044,6463.047956
6/19/2009,Christopher Martinez,Customer_66485,Honda,2015,20364.3,0.15,3054.645,0.25,5854.73625,29273.68,0.1,2927.368125,5982.011875
4/7/2015,William Young,Customer_66505,Honda,2021,31162.95,0.15,4674.4425,0.25,8959.348125,44796.74,0.05,2239.837031,11393.95297
5/8/2015,Christopher Martinez,Customer_66520,Toyota,2022,26797.68,0.15,4019.652,0.25,7704.333,38521.67,0.05,1926.08325,9797.90675
1/30/2015,Linda Anderson,Customer_66534,Tesla,2017,53845.848,0.15,8076.8772,0.25,15480.6813,77403.41,0.14,10836.47691,12721.08509
11/13/2015,Edward Adams,Customer_66543,Chevrolet,2023,19128.06,0.15,2869.209,0.25,5499.31725,27496.59,0.05,1374.829313,6993.700687
6/2/2009,Kevin Lewis,Customer_66564,Nissan,2016,22687.776,0.15,3403.1664,0.25,6522.7356,32613.68,0.08,2609.09424,7316.80976
6/22/2015,John Smith,Customer_66575,Lamborghini,2024,396261.81,0.15,59439.2715,0.25,113925.2704,569626.35,0.05,28481.31759,144883.2224
1/1/2015,Karen Green,Customer_66583,Honda,2018,13607.19,0.15,2041.0785,0.25,3912.067125,19560.34,0.07,1369.223494,4583.926506
1/14/2009,Emily Johnson,Customer_66600,Honda,2023,33750.612,0.15,5062.5918,0.25,9703.30095,48516.5,0.14,6792.310665,7973.577335
9/5/2009,John Smith,Customer_66601,Tesla,2022,60740.784,0.15,9111.1176,0.25,17462.9754,87314.88,0.04,3492.59508,23081.50092
3/2/2015,Sandra Moore,Customer_66602,Chevrolet,2020,29899.224,0.15,4484.8836,0.25,8596.0269,42980.13,0.07,3008.609415,10072.29659
5/16/2015,Christopher Martinez,Customer_66615,BMW,2022,33070.092,0.15,4960.5138,0.25,9507.65145,47538.26,0.06,2852.295435,11615.87257
12/22/2015,Patricia Wilson,Customer_66622,Chevrolet,2017,31366.314,0.15,4704.9471,0.25,9017.815275,45089.08,0.13,5861.579929,7861.186071
9/29/2015,Jacob Walker,Customer_66638,Chevrolet,2021,26321.496,0.15,3948.2244,0.25,7567.4301,37837.15,0.06,2270.22903,9245.42497
6/10/2009,Linda Anderson,Customer_66647,Toyota,2021,24064.302,0.15,3609.6453,0.25,6918.486825,34592.43,0.03,1037.773024,9490.354976
3/25/2015,Edward Adams,Customer_66652,Chevrolet,2017,20520.972,0.15,3078.1458,0.25,5899.77945,29498.9,0.02,589.977945,8387.950055
4/18/2009,Sandra Moore,Customer_66653,Honda,2017,18899.712,0.15,2834.9568,0.25,5433.6672,27168.34,0.04,1086.73344,7181.89456
3/17/2009,Matthew White,Customer_66659,Ford,2021,30289.65,0.15,4543.4475,0.25,8708.274375,43541.37,0.13,5660.378344,7591.341656
5/8/2015,Ryan Robinson,Customer_66665,Mazda,2015,27197.688,0.15,4079.6532,0.25,7819.3353,39096.68,0.07,2736.767355,9162.224645
2/24/2009,Donna Lee,Customer_66678,Toyota,2020,32341.32,0.15,4851.198,0.25,9298.1295,46490.65,0.1,4649.06475,9500.26525
9/7/2009,Nancy King,Customer_66701,BMW,2021,33093.09,0.15,4963.9635,0.25,9514.263375,47571.32,0.15,7135.697531,7342.532469
12/8/2009,Richard Pierce,Customer_66706,BMW,2024,48079.584,0.15,7211.9376,0.25,13822.8804,69114.4,0.12,8293.72824,12741.08776
4/10/2009,John Smith,Customer_66713,Ford,2017,57163.044,0.15,8574.4566,0.25,16434.37515,82171.88,0.06,4930.312545,20078.52346
11/17/2009,Sandra Moore,Customer_66720,Tesla,2020,39081.12,0.15,5862.168,0.25,11235.822,56179.11,0.04,2247.1644,14850.8256
4/19/2009,Patricia Wilson,Customer_66724,Toyota,2015,14687.088,0.15,2203.0632,0.25,4222.5378,21112.69,0.04,844.50756,5581.09444
12/17/2015,Michael Jones,Customer_66726,Honda,2017,25637.628,0.15,3845.6442,0.25,7370.81805,36854.09,0.07,2579.786318,8636.675682
10/3/2015,Joseph Scott,Customer_66764,Tesla,2024,45014.04,0.15,6752.106,0.25,12941.5365,64707.68,0.14,9059.07555,10634.56445
4/22/2015,Joseph Scott,Customer_66766,Tesla,2017,31676.4,0.15,4751.46,0.25,9106.965,45534.83,0.05,2276.74125,11581.68875
7/27/2015,Linda Anderson,Customer_66773,Toyota,2022,28343.52,0.15,4251.528,0.25,8148.762,40743.81,0.08,3259.5048,9140.7852
1/7/2009,Matthew White,Customer_66811,Toyota,2022,23686.236,0.15,3552.9354,0.25,6809.79285,34048.96,0.14,4766.854995,5595.869005
9/25/2009,Patricia Wilson,Customer_66812,Nissan,2020,26194.008,0.15,3929.1012,0.25,7530.7773,37653.89,0.09,3388.849785,8071.032215
9/4/2009,Donna Lee,Customer_66837,BMW,2023,48988.8,0.15,7348.32,0.25,14084.28,70421.4,0.08,5633.712,15798.888
4/24/2009,William Young,Customer_66846,Honda,2020,22756.974,0.15,3413.5461,0.25,6542.630025,32713.15,0.07,2289.920509,7666.255491
7/6/2009,Emily Johnson,Customer_66853,Mazda,2019,21787.584,0.15,3268.1376,0.25,6263.9304,31319.65,0.12,3758.35824,5773.70776
7/27/2015,Ryan Robinson,Customer_66863,Toyota,2017,16482.528,0.15,2472.3792,0.25,4738.7268,23693.63,0.08,1895.49072,5315.61128
9/19/2015,Anthony Hernandez,Customer_66873,Chevrolet,2015,19827.36,0.15,2974.104,0.25,5700.366,28501.83,0.05,1425.0915,7249.3785
6/20/2009,Joseph Scott,Customer_66878,Mercedes,2021,116810.604,0.15,17521.5906,0.25,33583.04865,167915.24,0.02,3358.304865,47746.33114
3/27/2015,Jacob Walker,Customer_66886,Mazda,2016,26537.832,0.15,3980.6748,0.25,7629.6267,38148.13,0.14,5340.73869,6269.55931
7/12/2015,Richard Pierce,Customer_66897,Toyota,2020,13582.14,0.15,2037.321,0.25,3904.86525,19524.33,0.1,1952.432625,3989.757375
7/9/2009,Jacob Walker,Customer_66902,Tesla,2017,55972.128,0.15,8395.8192,0.25,16091.9868,80459.93,0.07,5632.19538,18855.60662
8/1/2009,Michael Jones,Customer_66916,Nissan,2018,13594.392,0.15,2039.1588,0.25,3908.3877,19541.94,0.08,1563.35508,4384.19292
6/8/2015,Emily Johnson,Customer_66931,Nissan,2022,19855.284,0.15,2978.2926,0.25,5708.39415,28541.97,0.06,1712.518245,6974.167755
3/3/2015,Dorothy Hall,Customer_66938,Ford,2018,30972.48,0.15,4645.872,0.25,8904.588,44522.94,0.1,4452.294,9098.166
4/19/2009,Mary Butler,Customer_66943,Nissan,2022,20400.984,0.15,3060.1476,0.25,5865.2829,29326.41,0.14,4105.69803,4819.72797
7/15/2009,William Young,Customer_66961,Nissan,2017,14897.376,0.15,2234.6064,0.25,4282.9956,21414.98,0.04,856.59912,5661.00488
9/15/2009,Dorothy Hall,Customer_66966,Nissan,2021,26203.968,0.15,3930.5952,0.25,7533.6408,37668.2,0.12,4520.18448,6944.04752
8/28/2009,Susan Martinez,Customer_66974,Toyota,2021,14956.26,0.15,2243.439,0.25,4299.92475,21499.62,0.1,2149.962375,4393.397625
12/26/2015,Kevin Lewis,Customer_66978,Nissan,2016,26395.2,0.15,3959.28,0.25,7588.62,37943.1,0.04,1517.724,10030.176
10/21/2009,Daniel Taylor,Customer_66996,Honda,2017,31841.592,0.15,4776.2388,0.25,9154.4577,45772.29,0.13,5950.397505,7980.300495
9/18/2009,Karen Green,Customer_67021,BMW,2017,66700.26,0.15,10005.039,0.25,19176.32475,95881.62,0.14,13423.42733,15757.93267
11/9/2009,Sandra Moore,Customer_67024,Honda,2024,23486.76,0.15,3523.014,0.25,6752.4435,33762.22,0.08,2700.9774,7574.4826
4/1/2015,Kevin Lewis,Customer_67031,Honda,2015,25377.804,0.15,3806.6706,0.25,7296.11865,36480.59,0.02,729.611865,10373.17414
8/12/2009,Donna Lee,Customer_67055,BMW,2024,51924.69,0.15,7788.7035,0.25,14928.34838,74641.74,0.11,8210.591606,14506.45839
3/19/2015,William Young,Customer_67078,Chevrolet,2023,19561.968,0.15,2934.2952,0.25,5624.0658,28120.33,0.02,562.40658,7995.95542
3/6/2015,Kevin Lewis,Customer_67104,Honda,2022,20702.61,0.15,3105.3915,0.25,5952.000375,29760,0.11,3273.600206,5783.789794
10/16/2009,Anthony Hernandez,Customer_67105,Ford,2017,44056.602,0.15,6608.4903,0.25,12666.27308,63331.37,0.03,1899.940961,17374.82704
3/4/2009,Karen Green,Customer_67112,Chevrolet,2018,24295.44,0.15,3644.316,0.25,6984.939,34924.7,0.04,1396.9878,9232.2722
7/2/2015,Emily Johnson,Customer_67140,Toyota,2018,17855.64,0.15,2678.346,0.25,5133.4965,25667.48,0.1,2566.74825,5245.09175
6/13/2015,Emily Johnson,Customer_67159,Mazda,2021,14913.36,0.15,2237.004,0.25,4287.591,21437.96,0.05,1071.89775,5452.70225
9/1/2009,John Smith,Customer_67161,Tesla,2016,37583.052,0.15,5637.4578,0.25,10805.12745,54025.64,0.03,1620.769118,14821.81888
10/19/2015,David Williams,Customer_67181,Toyota,2021,20691,0.15,3103.65,0.25,5948.6625,29743.31,0.14,4164.06375,4888.24625
3/31/2015,John Smith,Customer_67208,Tesla,2021,56265.186,0.15,8439.7779,0.25,16176.24098,80881.2,0.13,10514.55663,14101.45737
10/21/2015,Donna Lee,Customer_67209,Honda,2015,15254.19,0.15,2288.1285,0.25,4385.579625,21927.9,0.05,1096.394906,5577.315094
3/9/2015,James Miller,Customer_67213,BMW,2022,42352.938,0.15,6352.9407,0.25,12176.46968,60882.35,0.11,6697.058321,11832.35368
7/31/2009,Kevin Lewis,Customer_67227,Nissan,2016,20854.02,0.15,3128.103,0.25,5995.53075,29977.65,0.1,2997.765375,6125.864625
3/16/2009,Sandra Moore,Customer_67235,Toyota,2017,14921.538,0.15,2238.2307,0.25,4289.942175,21449.71,0.01,214.4971088,6313.674891
4/8/2015,Joseph Scott,Customer_67236,Chevrolet,2021,17268.576,0.15,2590.2864,0.25,4964.7156,24823.58,0.01,248.23578,7306.76822
8/24/2015,Nancy King,Customer_67251,Ford,2021,33744.222,0.15,5061.6333,0.25,9701.463825,48507.32,0.11,5335.805104,9427.292896
8/22/2015,Michael Jones,Customer_67252,Ford,2017,34976.574,0.15,5246.4861,0.25,10055.76503,50278.83,0.09,4525.094261,10777.16174
2/7/2009,Edward Adams,Customer_67253,Nissan,2022,18313.62,0.15,2747.043,0.25,5265.16575,26325.83,0.06,1579.549725,6432.660275
11/30/2009,David Williams,Customer_67269,Honda,2021,24683.184,0.15,3702.4776,0.25,7096.4154,35482.08,0.02,709.64154,10089.25446
3/31/2009,Elizabeth Thomas,Customer_67271,Nissan,2022,17881.848,0.15,2682.2772,0.25,5141.0313,25705.16,0.01,257.051565,7566.260435
1/19/2009,Anthony Hernandez,Customer_67287,Honda,2018,12990.822,0.15,1948.6233,0.25,3734.861325,18674.31,0.01,186.7430663,5496.744934
1/19/2009,Matthew White,Customer_67291,Ford,2022,43767.24,0.15,6565.086,0.25,12583.0815,62915.41,0.1,6291.54075,12856.62925
6/6/2015,Matthew White,Customer_67298,Honda,2021,31239.396,0.15,4685.9094,0.25,8981.32635,44906.63,0.11,4939.729493,8727.504507
7/21/2009,Linda Anderson,Customer_67303,Toyota,2020,13356.81,0.15,2003.5215,0.25,3840.082875,19200.41,0.07,1344.029006,4499.570994
7/19/2009,Anthony Hernandez,Customer_67306,Toyota,2024,22991.658,0.15,3448.7487,0.25,6610.101675,33050.51,0.13,4296.566089,5762.285911
10/2/2009,Elizabeth Thomas,Customer_67308,Ford,2015,46518.732,0.15,6977.8098,0.25,13374.13545,66870.68,0.02,1337.413545,19014.53446
11/20/2015,Margaret Lopez,Customer_67310,Honda,2015,16463.616,0.15,2469.5424,0.25,4733.2896,23666.45,0.04,946.65792,6256.17608
5/15/2015,David Williams,Customer_67316,Honda,2023,30859.212,0.15,4628.8818,0.25,8872.02345,44360.12,0.03,1330.803518,12170.10448
9/23/2009,Jennifer Davis,Customer_67324,Mazda,2024,20510.616,0.15,3076.5924,0.25,5896.8021,29484.01,0.07,2063.880735,6909.513265
10/20/2015,Barbara Garcia,Customer_67327,Tesla,2020,35482.77,0.15,5322.4155,0.25,10201.29638,51006.48,0.09,4590.583369,10933.12663
10/10/2015,Joseph Scott,Customer_67344,Honda,2017,18105.21,0.15,2715.7815,0.25,5205.247875,26026.24,0.11,2862.886331,5058.143669
5/16/2015,Emily Johnson,Customer_67347,Tesla,2023,52576.128,0.15,7886.4192,0.25,15115.6368,75578.18,0.08,6046.25472,16955.79728
2/3/2015,Richard Pierce,Customer_67367,Mazda,2024,23482.368,0.15,3522.3552,0.25,6751.1808,33755.9,0.04,1350.23616,8923.29584
5/19/2015,Margaret Lopez,Customer_67385,Toyota,2019,13144.032,0.15,1971.6048,0.25,3778.9092,18894.55,0.08,1511.56368,4238.95432
9/29/2009,Christopher Martinez,Customer_67407,Mazda,2015,20004.744,0.15,3000.7116,0.25,5751.3639,28756.82,0.06,1725.40917,7026.66683
1/29/2015,Jessica Brown,Customer_67409,Ford,2015,42000.42,0.15,6300.063,0.25,12075.12075,60375.6,0.1,6037.560375,12337.61963
8/15/2015,Matthew White,Customer_67424,Mazda,2020,32279.28,0.15,4841.892,0.25,9280.293,46401.47,0.1,4640.1465,9482.0435
1/7/2015,Joseph Scott,Customer_67444,Honda,2020,22470.642,0.15,3370.5963,0.25,6460.309575,32301.55,0.07,2261.108351,7569.799649
2/6/2009,Nancy King,Customer_67451,Tesla,2020,32069.232,0.15,4810.3848,0.25,9219.9042,46099.52,0.11,5070.94731,8959.34069
6/12/2009,Richard Pierce,Customer_67472,BMW,2015,29055.18,0.15,4358.277,0.25,8353.36425,41766.82,0.1,4176.682125,8534.957875
10/11/2009,Jennifer Davis,Customer_67481,Honda,2016,28723.212,0.15,4308.4818,0.25,8257.92345,41289.62,0.14,5780.546415,6785.861585
3/15/2015,Nancy King,Customer_67483,Mazda,2019,25921.944,0.15,3888.2916,0.25,7452.5589,37262.79,0.08,2981.02356,8359.82244
9/26/2015,Karen Green,Customer_67486,Toyota,2021,31211.7,0.15,4681.755,0.25,8973.36375,44866.82,0.06,2692.009125,10963.11088
3/24/2015,Jessica Brown,Customer_67504,Honda,2024,27639,0.15,4145.85,0.25,7946.2125,39731.06,0.11,4370.416875,7721.643125
6/18/2009,Edward Adams,Customer_67509,Toyota,2024,23771.976,0.15,3565.7964,0.25,6834.4431,34172.22,0.07,2392.055085,8008.188915
5/20/2009,Barbara Garcia,Customer_67515,Tesla,2024,41659.632,0.15,6248.9448,0.25,11977.1442,59885.72,0.11,6587.42931,11638.65869
8/14/2015,Sandra Moore,Customer_67533,Ford,2015,64608.84,0.15,9691.326,0.25,18575.0415,92875.21,0.15,13931.28113,14335.08887
9/6/2009,Jacob Walker,Customer_67546,Nissan,2020,26240.76,0.15,3936.114,0.25,7544.2185,37721.09,0.08,3017.6874,8462.6426
3/20/2015,John Smith,Customer_67561,Ford,2016,46158.24,0.15,6923.736,0.25,13270.494,66352.47,0.15,9952.8705,10241.3595
3/24/2015,Kevin Lewis,Customer_67564,Mazda,2023,27636.552,0.15,4145.4828,0.25,7945.5087,39727.54,0.08,3178.20348,8912.78452
11/23/2009,Mary Butler,Customer_67565,Honda,2020,23985.99,0.15,3597.8985,0.25,6895.972125,34479.86,0.11,3792.784669,6701.085331
8/6/2009,Joseph Scott,Customer_67570,Ford,2017,60846.834,0.15,9127.0251,0.25,17493.46478,87467.32,0.07,6122.712671,20497.77333
1/7/2009,Susan Martinez,Customer_67574,Ford,2018,53131.464,0.15,7969.7196,0.25,15275.2959,76376.48,0.08,6110.11836,17134.89764
2/1/2009,James Miller,Customer_67590,Honda,2016,19776.96,0.15,2966.544,0.25,5685.876,28429.38,0.09,2558.6442,6093.7758
11/1/2015,Barbara Garcia,Customer_67599,Tesla,2015,68587.38,0.15,10288.107,0.25,19718.87175,98594.36,0.15,14789.15381,15217.82619
1/21/2009,Linda Anderson,Customer_67601,Honda,2024,15272.46,0.15,2290.869,0.25,4390.83225,21954.16,0.02,439.083225,6242.616775
1/24/2009,Kevin Lewis,Customer_67618,Ford,2015,41611.68,0.15,6241.752,0.25,11963.358,59816.79,0.1,5981.679,12223.431
1/20/2015,Anthony Hernandez,Customer_67625,Nissan,2024,17388.048,0.15,2608.2072,0.25,4999.0638,24995.32,0.03,749.85957,6857.41243
6/10/2009,Jennifer Davis,Customer_67642,BMW,2015,34255.2,0.15,5138.28,0.25,9848.37,49241.85,0.12,5909.022,9077.628
1/15/2015,Richard Pierce,Customer_67648,Chevrolet,2016,24582.186,0.15,3687.3279,0.25,7067.378475,35336.89,0.03,1060.106771,9694.597229
12/9/2009,David Williams,Customer_67663,Honda,2019,21325.812,0.15,3198.8718,0.25,6131.17095,30655.85,0.13,3985.261118,5344.776882
10/23/2015,Linda Anderson,Customer_67666,Mazda,2023,25335.306,0.15,3800.2959,0.25,7283.900475,36419.5,0.11,4006.145261,7078.048739
1/22/2015,Patricia Wilson,Customer_67673,BMW,2024,57437.448,0.15,8615.6172,0.25,16513.2663,82566.33,0.13,10733.6231,14395.2589
12/27/2009,Elizabeth Thomas,Customer_67680,Chevrolet,2023,16260.93,0.15,2439.1395,0.25,4675.017375,23375.09,0.05,1168.754344,5945.405656
6/22/2009,Jacob Walker,Customer_67689,Honda,2022,22661.754,0.15,3399.2631,0.25,6515.254275,32576.27,0.09,2931.864424,6982.651576
7/7/2015,Edward Adams,Customer_67694,Mercedes,2022,188667.36,0.15,28300.104,0.25,54241.866,271209.33,0.05,13560.4665,68981.5035
10/5/2015,Anthony Hernandez,Customer_67697,Lamborghini,2023,514319.544,0.15,77147.9316,0.25,147866.8689,739334.34,0.08,59146.74756,165868.0484
5/9/2009,Barbara Garcia,Customer_67702,Nissan,2016,27808.734,0.15,4171.3101,0.25,7995.011025,39975.06,0.09,3597.754961,8568.571039
2/9/2009,Michael Jones,Customer_67707,Chevrolet,2018,18454.176,0.15,2768.1264,0.25,5305.5756,26527.88,0.06,1591.67268,6482.03132
8/25/2015,Christopher Martinez,Customer_67735,Mazda,2016,24526.656,0.15,3678.9984,0.25,7051.4136,35257.07,0.12,4230.84816,6499.56584
2/11/2009,Michael Jones,Customer_67748,Toyota,2019,14290.92,0.15,2143.638,0.25,4108.6395,20543.2,0.06,1232.59185,5019.68815
5/4/2009,James Miller,Customer_67764,Chevrolet,2019,14549.202,0.15,2182.3803,0.25,4182.895575,20914.48,0.13,2718.882124,3646.395876
3/4/2009,Susan Martinez,Customer_67782,Mazda,2024,30930.48,0.15,4639.572,0.25,8892.513,44462.57,0.14,6224.7591,7307.3309
11/2/2015,Edward Adams,Customer_67783,Tesla,2024,26710.86,0.15,4006.629,0.25,7679.37225,38396.86,0.1,3839.686125,7846.313875
9/6/2015,Donna Lee,Customer_67792,Mercedes,2022,313364.04,0.15,47004.606,0.25,90092.1615,450460.81,0.1,45046.08075,92050.68925
4/14/2015,Elizabeth Thomas,Customer_67798,Honda,2016,30855.162,0.15,4628.2743,0.25,8870.859075,44354.3,0.07,3104.800676,10394.33732
5/25/2015,Edward Adams,Customer_67814,Mercedes,2023,335068.476,0.15,50260.2714,0.25,96332.18685,481660.93,0.03,14449.82803,132142.626
4/29/2015,Jessica Brown,Customer_67823,Honda,2015,23562.042,0.15,3534.3063,0.25,6774.087075,33870.44,0.07,2370.930476,7937.467524
2/7/2009,Anthony Hernandez,Customer_67834,Ford,2022,62225.73,0.15,9333.8595,0.25,17889.89738,89449.49,0.05,4472.474344,22751.28566
9/28/2009,Sandra Moore,Customer_67836,Toyota,2016,25528.23,0.15,3829.2345,0.25,7339.366125,36696.83,0.05,1834.841531,9333.758469
4/2/2009,Joseph Scott,Customer_67842,Tesla,2015,63225.396,0.15,9483.8094,0.25,18177.30135,90886.51,0.06,5453.190405,22207.9236
1/31/2009,Linda Anderson,Customer_67845,Toyota,2022,29521.656,0.15,4428.2484,0.25,8487.4761,42437.38,0.02,848.74761,12066.97639
5/6/2009,Michael Jones,Customer_67849,Tesla,2015,59916.894,0.15,8987.5341,0.25,17226.10703,86130.54,0.13,11196.96957,15016.67643
10/20/2009,David Williams,Customer_67850,Nissan,2021,24748.668,0.15,3712.3002,0.25,7115.24205,35576.21,0.06,2134.572615,8692.969385
4/19/2015,Barbara Garcia,Customer_67854,Tesla,2020,40193.19,0.15,6028.9785,0.25,11555.54213,57777.71,0.15,8666.656594,8917.863406
7/8/2009,Karen Green,Customer_67860,Toyota,2023,28719.36,0.15,4307.904,0.25,8256.816,41284.08,0.08,3302.7264,9261.9936
1/18/2015,Edward Adams,Customer_67867,Nissan,2016,27422.22,0.15,4113.333,0.25,7883.88825,39419.44,0.09,3547.749713,8449.470287
